Quarter Back_1,Quarter Back_2,Quarter Back_3,Running Back_1,Running Back_2,Running Back_3,Running Back_4,Offensive Lineman_1,Offensive Lineman_2,Offensive Lineman_3,Offensive Lineman_4,Offensive Lineman_5,Offensive Lineman_6,Offensive Lineman_7,Offensive Lineman_8,Offensive Lineman_9,Tight End_1,Tight End_2,Tight End_3,Wide Receiver_1,Wide Receiver_2,Wide Receiver_3,Wide Receiver_4,Wide Receiver_5,Wide Receiver_6,Defensive Lineman_1,Defensive Lineman_2,Defensive Lineman_3,Defensive Lineman_4,Defensive Lineman_5,Defensive Lineman_6,Defensive Lineman_7,Defensive Lineman_8,Defensive Lineman_9,Line Backer_1,Line Backer_2,Line Backer_3,Line Backer_4,Line Backer_5,Line Backer_6,Line Backer_7,Defensive Back_1,Defensive Back_2,Defensive Back_3,Defensive Back_4,Defensive Back_5,Defensive Back_6,Defensive Back_7,Defensive Back_8,Defensive Back_9,Defensive Back_10,Kicker_1,Punter_1,Team Rating
72,68,55,75,72,70,66,82,76,76,74,74,73,69,68,68,71,69,64,78,78,77,76,74,71,83,81,74,70,69,64,0,0,0,81,72,70,69,65,65,63,85,79,78,75,73,69,69,67,66,66,70,73,75
72,57,56,80,77,65,65,88,79,78,74,70,65,62,60,58,88,65,60,75,73,72,71,69,66,73,70,70,65,61,0,0,0,0,77,77,76,72,70,70,67,77,74,74,71,69,67,66,65,63,63,71,81,78
95,68,59,90,79,67,56,95,86,73,72,71,70,70,68,64,80,79,68,99,77,76,76,68,68,75,70,0,0,0,0,0,0,0,89,87,85,82,75,74,66,95,90,80,78,75,75,74,68,65,63,72,80,86
71,71,61,96,74,70,63,82,78,68,68,67,66,65,63,62,70,70,36,86,81,71,70,67,66,86,73,73,70,64,59,0,0,0,84,82,70,70,67,66,66,94,83,83,82,76,74,72,72,67,66,75,70,77
77,61,58,82,76,73,70,87,86,84,79,78,76,64,61,59,85,79,66,79,79,79,72,66,65,78,78,77,73,0,0,0,0,0,87,85,79,78,78,74,71,89,89,82,82,81,75,71,69,68,68,76,80,79
83,70,0,88,79,76,72,89,82,73,72,71,70,69,68,68,91,70,63,82,77,76,74,70,0,88,82,74,74,66,0,0,0,0,82,76,75,74,74,71,69,90,81,78,78,77,73,69,68,68,68,80,83,80
83,59,54,82,79,77,66,86,84,76,75,70,69,66,57,57,84,64,63,98,86,86,77,68,65,99,76,65,62,0,0,0,0,0,93,80,73,72,72,69,67,99,83,77,75,74,74,74,72,71,66,76,85,78
90,65,56,81,80,78,78,92,83,77,74,73,72,70,67,66,93,76,67,84,77,76,72,71,68,88,78,75,64,0,0,0,0,0,80,78,77,77,76,74,73,91,88,81,80,79,76,76,75,74,70,90,84,87
76,67,61,91,78,67,65,94,88,81,75,73,72,68,63,62,73,69,68,91,75,74,74,71,71,92,81,70,70,68,68,0,0,0,92,76,73,68,64,62,0,88,84,83,82,80,75,74,74,69,62,79,75,93
88,62,60,84,77,72,67,81,79,73,72,70,66,63,59,58,76,74,65,89,88,71,69,64,63,77,72,72,71,70,70,68,0,0,91,80,73,72,68,66,64,90,83,78,77,72,71,71,68,67,66,74,82,85
74,63,62,83,73,71,68,78,73,72,70,68,67,62,62,61,78,77,65,85,80,78,74,71,59,94,86,74,65,63,0,0,0,0,96,77,76,74,70,70,66,89,79,78,77,76,70,70,67,65,64,82,72,84
84,70,68,74,72,69,60,89,77,72,72,71,68,68,65,62,72,70,66,87,77,73,73,72,69,76,73,70,68,0,0,0,0,0,74,74,73,70,68,68,64,82,81,74,73,72,71,71,70,67,66,72,72,84
85,51,0,97,72,70,69,82,82,80,78,71,67,67,64,59,71,69,67,87,84,71,70,70,67,89,80,66,64,60,58,0,0,0,83,83,78,77,75,71,68,91,78,78,76,75,74,72,69,69,68,71,85,80
81,64,52,95,77,76,71,83,76,74,73,66,66,63,63,63,77,74,67,90,88,72,72,71,67,89,80,75,72,67,66,65,64,0,89,79,70,68,67,67,66,90,78,77,74,73,69,68,67,65,0,69,76,83
88,85,0,99,99,98,89,90,90,89,83,83,0,0,0,0,96,0,0,90,86,86,84,83,0,97,92,88,87,0,0,0,0,0,99,99,96,91,0,0,0,92,90,86,86,85,0,0,0,0,0,0,0,84
89,87,0,92,88,0,0,99,93,90,87,83,0,0,0,0,88,0,0,92,90,87,87,0,0,92,88,87,87,0,0,0,0,0,84,83,81,0,0,0,0,92,90,89,86,84,84,0,0,0,0,0,0,80
91,0,0,97,94,86,0,91,90,89,88,87,0,0,0,0,84,0,0,92,87,86,85,0,0,98,89,89,83,0,0,0,0,0,89,87,82,0,0,0,0,92,87,86,85,80,0,0,0,0,0,0,0,78
98,0,0,92,90,0,0,96,91,86,85,83,0,0,0,0,97,0,0,91,88,88,86,0,0,90,89,88,86,0,0,0,0,0,97,91,89,88,0,0,0,97,96,91,90,90,0,0,0,0,0,86,80,81
90,0,0,99,98,0,0,99,90,89,88,87,0,0,0,0,98,0,0,94,84,84,82,0,0,89,88,88,86,0,0,0,0,0,90,86,81,0,0,0,0,91,90,90,86,86,0,0,0,0,0,84,79,83
83,0,0,99,91,85,0,89,88,88,87,85,85,0,0,0,86,0,0,91,90,87,87,0,0,96,94,92,90,0,0,0,0,0,99,90,89,85,0,0,0,96,94,85,82,82,0,0,0,0,0,83,76,78
89,0,0,95,90,87,0,93,90,86,81,0,0,0,0,0,90,0,0,97,91,87,83,0,0,92,87,84,82,0,0,0,0,0,89,84,82,0,0,0,0,96,95,93,93,91,90,90,90,0,0,84,82,78
94,91,0,97,89,0,0,95,90,87,85,82,0,0,0,0,98,97,0,94,91,90,88,87,0,93,92,88,88,86,0,0,0,0,97,91,83,0,0,0,0,95,91,89,88,88,87,0,0,0,0,86,85,85
97,90,0,97,92,90,89,98,93,91,89,89,0,0,0,0,99,96,0,94,87,86,0,0,0,94,93,90,89,0,0,0,0,0,98,98,98,89,88,0,0,94,93,93,90,87,86,85,0,0,0,88,81,84
99,98,92,93,93,0,0,98,97,94,89,86,0,0,0,0,97,95,0,96,92,91,91,0,0,96,93,92,89,0,0,0,0,0,85,85,82,0,0,0,0,95,88,87,85,83,0,0,0,0,0,97,87,86
96,95,0,97,96,94,91,98,96,94,94,91,0,0,0,0,95,0,0,94,92,91,89,88,0,99,97,93,89,89,0,0,0,0,96,90,87,85,0,0,0,94,94,91,91,87,0,0,0,0,0,86,84,88
98,89,0,99,91,84,0,97,95,90,88,84,0,0,0,0,84,0,0,89,88,86,85,0,0,94,88,86,82,0,0,0,0,0,94,85,83,0,0,0,0,90,90,90,88,83,0,0,0,0,0,88,89,74
91,91,82,94,91,90,0,94,90,90,89,87,0,0,0,0,93,0,0,89,89,88,85,0,0,99,96,89,86,0,0,0,0,0,98,89,86,0,0,0,0,98,92,90,90,86,0,0,0,0,0,88,78,89
92,89,0,89,87,86,0,90,89,89,87,0,0,0,0,0,89,88,0,98,89,89,82,0,0,93,92,87,84,0,0,0,0,0,91,90,89,87,0,0,0,99,91,88,88,84,81,0,0,0,0,87,78,86
99,97,0,91,90,90,85,90,90,89,88,86,0,0,0,0,96,93,0,99,97,87,85,85,0,93,92,89,87,0,0,0,0,0,97,91,90,86,0,0,0,99,93,88,85,85,0,0,0,0,0,84,84,83
88,87,0,92,91,0,0,96,92,89,86,84,0,0,0,0,93,0,0,96,87,87,87,0,0,94,87,86,0,0,0,0,0,0,99,94,94,84,0,0,0,97,87,86,86,85,85,0,0,0,0,84,84,77
84,0,0,91,89,83,0,97,86,83,80,0,0,0,0,0,83,0,0,93,89,86,80,0,0,90,86,84,80,0,0,0,0,0,88,83,83,0,0,0,0,96,89,88,82,82,0,0,0,0,0,84,85,79
89,0,0,94,85,0,0,99,96,90,85,84,82,0,0,0,84,0,0,91,87,85,84,0,0,95,94,93,85,85,84,0,0,0,88,85,84,0,0,0,0,94,90,86,85,85,0,0,0,0,0,81,83,78
87,0,0,99,91,0,0,90,90,86,85,82,0,0,0,0,93,0,0,96,90,87,86,0,0,95,87,87,84,0,0,0,0,0,95,92,87,0,0,0,0,98,94,92,91,90,89,89,0,0,0,90,75,80
97,97,92,94,91,87,82,98,97,96,94,89,0,0,0,0,85,0,0,95,94,92,92,87,0,93,93,90,88,87,0,0,0,0,98,92,90,88,0,0,0,96,94,94,91,89,85,0,0,0,0,84,78,87
89,0,0,91,89,86,0,88,88,88,85,83,0,0,0,0,92,0,0,94,87,85,81,0,0,94,88,87,85,0,0,0,0,0,98,86,85,0,0,0,0,89,85,84,80,78,0,0,0,0,0,85,80,84
99,0,0,87,85,84,0,99,92,91,89,88,0,0,0,0,99,85,0,91,90,90,89,0,0,90,90,87,86,0,0,0,0,0,95,88,86,85,0,0,0,96,94,94,92,89,89,0,0,0,0,90,76,87
88,88,0,93,93,86,0,99,98,98,93,93,0,0,0,0,96,0,0,96,90,89,87,0,0,98,94,88,87,0,0,0,0,0,96,87,85,0,0,0,0,97,96,94,93,90,87,0,0,0,0,85,93,80
95,90,0,98,97,92,91,98,95,93,88,88,0,0,0,0,90,0,0,95,94,91,90,0,0,99,99,98,94,86,0,0,0,0,96,84,84,0,0,0,0,90,89,87,86,84,0,0,0,0,0,84,86,85
91,83,0,91,89,0,0,99,93,92,83,82,0,0,0,0,88,84,0,83,83,80,0,0,0,91,91,86,0,0,0,0,0,0,99,93,87,86,0,0,0,99,90,88,86,84,84,0,0,0,0,99,85,81
99,0,0,90,89,88,0,97,96,92,91,85,0,0,0,0,96,87,0,95,89,88,87,0,0,91,90,85,83,0,0,0,0,0,95,94,90,87,0,0,0,87,85,85,85,82,0,0,0,0,0,95,87,87
94,85,0,96,92,92,0,98,97,85,84,83,0,0,0,0,82,0,0,93,90,87,87,0,0,95,91,89,86,0,0,0,0,0,98,86,85,83,0,0,0,97,95,95,95,89,87,0,0,0,0,86,83,81
92,92,0,95,92,0,0,99,97,97,93,85,85,0,0,0,86,0,0,95,92,91,89,0,0,99,90,86,85,0,0,0,0,0,99,99,95,94,89,0,0,99,97,95,95,86,0,0,0,0,0,94,91,84
86,0,0,89,85,0,0,87,87,84,81,76,67,0,0,0,86,0,0,95,93,82,82,0,0,97,90,80,0,0,0,0,0,0,92,86,85,83,0,0,0,86,85,84,80,78,0,0,0,0,0,74,64,83
91,90,0,97,91,91,90,99,95,89,85,84,0,0,0,0,92,86,0,90,89,87,85,0,0,90,90,89,87,0,0,0,0,0,94,90,86,0,0,0,0,91,89,89,87,85,0,0,0,0,0,74,77,81
96,89,0,95,90,0,0,99,95,90,90,86,0,0,0,0,87,0,0,99,94,90,90,0,0,97,95,95,94,92,89,88,0,0,86,86,84,0,0,0,0,97,94,90,89,87,0,0,0,0,0,73,73,83
99,69,62,83,78,77,77,84,83,82,82,79,77,70,70,69,99,81,77,88,83,77,76,75,75,86,85,84,82,78,74,73,70,68,84,76,74,73,72,69,68,92,87,87,83,80,76,74,72,71,69,83,80,85
88,72,69,96,73,68,68,95,86,85,78,78,70,69,67,67,79,77,73,99,80,74,72,69,63,88,86,80,77,71,71,64,63,60,86,80,78,73,72,68,68,85,84,81,78,74,73,72,71,69,69,79,79,86
81,70,68,76,73,66,64,82,81,79,74,69,68,68,67,67,74,74,70,88,88,75,73,71,70,83,80,79,78,76,75,72,71,67,99,81,78,77,77,70,68,88,83,83,80,76,74,72,70,70,66,80,84,80
99,72,70,81,75,75,64,97,81,77,73,67,67,67,66,66,86,82,78,88,83,71,70,69,69,91,88,83,75,71,68,63,62,0,86,83,82,78,73,71,68,87,78,77,77,75,74,74,73,71,71,77,75,81
88,58,55,87,81,76,70,84,82,76,72,70,70,68,67,65,92,70,67,82,78,77,76,74,72,89,83,82,80,74,73,73,72,69,99,83,80,70,67,67,66,79,78,76,76,74,74,73,72,71,70,80,78,80
83,62,61,92,70,70,69,88,80,79,78,71,67,67,66,65,77,77,65,87,83,80,73,65,63,99,94,88,75,75,73,68,68,67,77,75,73,71,70,70,68,90,89,87,85,82,72,71,69,67,67,80,86,83
82,68,63,85,75,68,66,81,72,71,70,68,67,66,66,66,75,71,70,94,81,77,73,72,67,98,81,75,72,72,71,70,69,66,91,81,79,78,75,71,68,93,87,85,79,78,78,75,74,72,72,73,78,79
89,68,62,91,86,72,65,90,83,81,79,75,70,68,68,66,80,72,67,98,82,77,74,70,62,86,82,82,82,75,74,71,71,67,90,81,71,69,66,61,61,93,89,85,84,82,79,74,73,73,72,85,81,84
80,67,61,87,78,76,66,91,89,78,73,71,69,68,66,66,81,73,73,82,80,79,79,72,71,92,86,85,84,81,77,76,72,70,90,84,70,69,68,67,66,97,94,85,83,78,74,70,70,70,70,78,74,84
82,71,64,85,82,69,64,77,76,75,72,71,69,69,68,66,86,73,68,90,88,78,73,71,67,92,90,84,83,73,72,70,70,69,84,79,76,69,67,66,65,97,92,85,80,78,75,74,73,72,67,78,79,83
92,64,61,77,76,75,73,81,78,72,69,69,68,66,66,66,77,71,71,90,82,81,78,71,69,81,79,79,75,72,72,72,71,70,97,83,78,72,69,65,63,95,90,80,76,76,76,76,73,70,69,81,77,81
77,67,61,89,79,79,79,81,80,76,73,67,66,66,65,65,95,74,73,87,83,76,75,71,67,87,77,74,74,73,73,72,68,68,90,82,79,74,73,69,68,96,82,80,77,73,71,70,69,68,68,80,83,82
82,64,63,92,80,71,71,96,96,95,76,72,68,65,65,64,73,70,69,81,81,79,75,73,70,91,82,80,79,77,76,76,76,71,96,77,75,73,72,70,66,81,80,79,77,76,75,72,67,67,60,80,85,84
76,71,68,83,82,74,65,83,78,77,72,70,70,69,67,66,85,77,67,95,82,72,72,72,69,95,82,72,71,70,67,67,66,63,82,74,72,72,72,69,68,88,88,74,73,72,71,70,70,70,68,75,75,74
80,73,61,77,77,72,71,88,81,78,73,72,72,68,67,66,82,79,65,89,85,79,79,69,64,90,84,83,80,79,78,75,75,72,95,80,75,69,69,67,67,86,77,73,73,73,71,71,71,70,69,77,81,77
91,71,65,88,86,75,73,87,82,82,77,72,69,66,66,65,81,80,72,91,83,82,77,72,71,95,81,81,80,79,76,75,73,72,85,78,77,74,71,71,70,90,84,83,82,76,74,74,68,68,68,79,82,84
